,without_tag
29,"Dini hari tadi Kemang Selatan XII, Jakarta Selatan menyatakan keikutsertaannya dlm keriaan   utk kesekian kalinya. Semoga kali ini kawasan ini diakui sebagai peserta  setelah kecewa tdk dinyatakan banjir oleh  pd peristiwa tahun baru lalu "
30, Listrikku matek mbak. Diputus PLN. Kemang banjir. Laaah aku ora iso nyuci.
31,"Dibayar tunai, sekarang banjir di hari selasa  kadruun kadruun "
32,Awww gemesh bangeeet ini tanggal item juga banjir saking solehnya  
33,Thanks Anies gubernur terbaique  aku sekarang ke kantor hampir  jam lohhh karena banjir dan road closures di mana mana 
34,    O tentu tidak. Kosanku bebas banjir sejauh ini 
35,  
36,Ngeliat IG banjir Ngeliat Facebook banjir Ngeliat Twitter banjir Eeeehhhh pas ngeliat dompet malah mulai kering 
37,Gak ada info banjir di kawasan Tangerang Selatan nih min? Tx 
38,Waspada banjir di mana² hari ini yaaaa... 
39, Pengambilan keputusan yg tepat mas bro. Istri &amp; anak bisa hidup tenang &amp; nyaman tanpa kepikiran banjir lagi 
40,Orang bule aja mau bantuin petugas kebersihan nguras sm mungut sampah banjir. Nah kita? 
41,"Tanggal  Januari lalu boleh lah kaget. Gak nyangka curah hujan tinggi banget, gak ada tanda-tanda akan banjir sangat besar. Lalu kebobolan tanpa persiapan. Tapi kalo sekarang masih begitu juga, itu namanya gak mau belajar dari kejadian lampau. Geram!"
42,"  Banjir tapi di titik tertentu ,Kalo puri sakti itu udah pasti jangan karna emmag kawasan banjir ,kemang paling aman di kemang timur"
43,"Jijik banget denger bacotan pro anies ,banjir adalah berkah ,karna jakarta adalah kota penuh dengan rawa ,halah bacot lu rumah lu noh kelelep"
44,Pertama kali gajadi balik karena force majeur ceunah aka banjir 
45,Lagi musim banjir disuru ke Sukabumi hadeh
46,"Selain mindahin mobil, dokumen penting, dan barang berharga, sebelum banjir minum pil kb/susuk/pasang spiral.Nanti bukan bonus demografi lagi, tapi ledakan demografi. Jakarta banjir ndak kelar-kelar je. Gak weekend gak weekdays."
47,Liat timeline  isinya banjir semua Stay safe guys.
48,ただいまチランダック/Cilandak辺り。既に水が溢れてる箇所あり。今日も朝から大雨のジャカルタ     
49,Titik-titik banjir: Hujan deras yang terjadi mulai Senin (/) malam mengakibatkan sejumlah wilayah di Jakarta terendam banjir.  
50,"Ini hari kerja dan banjir,berarti gak soleh dongggghh "
51,Ini hujan dan banjir gini gak bisa ke sunter nih
52,"Meskipun gubernurnya soleh, tapi hari Selasa gini tetep banjir. Apa yang salah?"
53,"Pagi ini hujan pasti ada bagian di Jkt yg terkena banjir. Jkt sejak zmn baheula sdh banjir. Mk ada Rawajati, Rawamangun, Rawabadak dll. Pr Gub DKi dr ms ke ms berjuang atasi banjir blm berhsl. Anies dlm  thn pimpin DKI jg  blm berhasil. Para politisi penganggur hajar Anies"
54, Iya dsini jg dr kmrin malem hujannya smpe skrg ga brhnti. Di rumahku klo banjir tu biasanya kiriman.. soalnya kmrin ga banjir walaupun hujan mulu
55,"Bela Anies Terkait Banjir, Bamus Betawi: Bersyukur Banjir Terjadi di Hari Libur, Ada Hikmahnya "
56,Please banjir atau tenggelemin aja sekalian jakarta
57," tagih ke Jokowi tuh, janjinya jika jd Presiden banjir DKI teratasin "
58,"Iya pak anies nunggu janji Jokowi, jadi Presiden banjir DKI hilang, kan kata Jokowi gitu  "
59,"Ayo mas Joko janji nya ditepatin, katanya banjir jakarta akan teratasin jika jd presiden "
60,Cuman mau bilang si kalo banjir jakarta kali ini paling parah selama  tahun gw kuliah pp cemput depok itu yg namanya cawang gak pernah banjirrr setinggi itu
61,"Anies mau ikut jejak Jokowi, jadi Presiden baru bisa atasin banjir Jakarta  "
62,Astagfirullah Kelapa Gading banjir lagi 
63,Wah banjir mulu
64,Hujan deras yang mengguyur ada Minggu (/) dini hari menyebabkan sejumlah wilayah Jakarta dilanda banjir. 
65,Banjir menimpa Negara Adidaya 
66,Moga gak banjir -_-
67, Wkwkwkw katanya sering banjir
68,"Maaf survei abal-abal. Yg disurvei banjir di Jakarta, tapi responden  dari seluruh Indonesia. "
69,Mulai naik air nya ... ... @ Kampung Gaga Caplin Ciledug 
70,Lautan sampah di Parung Serab depan ruko Dian Mansion.. via Twitter:Dari dulu tmpt ini gprnh bersih dari yg namanya sampah sekalipun bersih paginya udh numpuk lagi Dan pas banjir beginilah akibatnya.tlg… 
71,"Sebagai bentuk mawas diri akan musibah banjir, mari beesama jaga kebersihan dgn tidak membuang sampah sembarangan.Perlu diingat, puntung rokok juga merupakan bentuk sampah."
72,Jajaran terkait siap membangun pos pengungsian -&gt; Jajaran terkati lakukan evaluasi terkait banjir yg terjadi agar bisa mengantisipasi -&gt; Sama sama kebanjiran toh
73,Yang gak ngizinin iku loh sopo????
74,   Kelihatan banget area tersebut butuh EDUKASI JAGA LIMGKUNGAN DARI SAMPAH RUMAH TANGGA bener kata orang tua....KITA AKAN TUAI APA YG KITA TANAM..Mau ga banjir tapi buang sampah seudelnye..Giliran banjir nyalahin  Tolong pak  mrk diberi edukasi
75, Wkwk tau ahh. Baru kali ini gw setahun sampe x kena banjir
76,    Kalo kali nya mah biasanya gapernah smpe ada sampah numpuk bersih.  Itu sampah yg dibuang dipinggir jalan setiap harinya ada aja sampah. Dan akhirnya banjir jadi bgtu 
77,"untung udh netap di Semarang. ga kebayang bokap nyokap yg tiap minggu hrs ke daerah Cempaka Putih-Kelapa Gading hrs muter otak lewat mana lagi karena sensitif bgt, hujan dikit aja banjir se-dada orang dewasa"
78,Menangani Banjir dan Kemacetan akan lebih Mudah jika Jadi Presiden...
79,"Berita terpopuler hari ini JAKARTA BANJIR, apa Jakarta tidak punya pimpinan yg berkompeten sehingga bajir terus menerus terjadi "
80, Terimakasih pakk polrii sudah dengan suka rela membantu para masyarakat yg sedang lewat dilokasi titik banjir sshat² selalu bapak 
81,"Untuk bapak  kenapa anda tidak muncul, anda kan seorang pengendali banjir....Hiya Hiya hiya"
82,jadi kalo udah gini salah siapa?  
83,"Hallo   jembatan baru yang di jalan raden fatah, kok jadinya useless gt yah. Sdh x banjir termasuk hari, tuh jembatan gk bisa di lewati.  Gmn desain awalnya yah? Cc  "
84,    mohon info apakah daerah lebak  bulus ada jalan yg banjir /terendam?
85,"Terus kalo banjir, yang kena kan cowo dan cewe. Bisa hamil dong nanti "
86,"Disatu sisi warga kesal dengan pemerintah karna banjir, disisi lain anak sekolah senang sekolah diliburkan karna banjir."
87,"Padahal BMKG dari akhir tahun udah memperingatkan hujan besar dipertengahan februari-maret berpotensi banjir, aq sih udah ga kaget kalo banjir."
88,Tenang Kawan-kawan biarpun BanjirKrusty Krab tetap buka seperti biasa.
89,"Tenang kawan-kawan kita pasti bisa melewati masalah banjir ini, karna kita sudah pernah melewati masalah kiamat ."
90,"Liat Ibukota Banjir, liat dompet Kering."
91, Banjir
92,"Kehamilan bisa terjadi pada wanita di kolam renang, walau tanpa berhubungan badanBanjir cuma terjadi di hari liburYuk  statement lagi yuk, biar gobloknya hattrick."
93,Banjir gais terpaksa berangkat pulang sampe rumah macem kucing keujanan:v 
94,Alhamdulillah rumah ga banjirTapi tl semua sosmed gua banjir ):
95,Senang dah kau jhon bolak balik rumah  
96,Yakin masih mau lanjutin formula e nya pak? Apa sebaiknya dana penyelenggaran di geser utk hal yg lebih berguna seperti penanggulangan banjir mungkin
97,Gue: ha? Hujan? Dimana banjir? Tetep berangkat kantor aja dehKantor: 
98," Bsk beli kasur yg di ikea boy, bebas banjir"
99,Inilah bedanya bekas Gabener sampah AHOAX yang JUMAWA. Beda kelas dengan Goodbener Indonesia bapak Anies Baswedan yang berani bertanggung jawab atas musibah banjir DKI Jakarta. 
100,"  Sedikit merasakan gak sur? Tiap hujan waswas dan tau banjir, begitu surut harus bersih rumah..Energi terkuras hanya utk masalah itu itu saja"
101,"Maaf ni pak, kebetulan hari biasa nih dan kayaknya hujan deras yg mengguyur membuat beberapa wilayah terendam banjir.Pede bener banjir cuma weekend katanya  "
102,"  Yes wajar tp bolak balik kena dampak banjir dan belum adanya tindakan kongkrit dr pemerintah terkait apa iya kita masih bisa bilang wajar jakarta banjir dr dulu, atau makanya jangan buang sampah sembarangan bla bla bla bla..."
103,  Utk hal ini proses bukan? Pembangunan waduk masih dlm pengerjaan. Tp apa iya setelah waduk berdiri jakarta tidak kena banjir? Apa kita tetap pongah dan melepas kewaspadaan?
104,"Bapak gak kasian sama warganya yg bolak balik kena banjir? Kok gak ada langkah kongkrit pak?Oia lupa, yg utama formula e"
105,Banjir lagi aje
106,"Saat ini sih rumah/akses jalan kekantor belum kebanjiran ya, tapi ngeliat temen kantor pd izin karna kena/kejebak banjir, rasanya ingin latahan  "
107,Selamat pagi puri kartika  
108,  Yang bikin banjir bukan Anis. Banjir sebab curah hujan tinggi di mana termasuk Tangerang. Saya orang tangerang hari ini saya tidak menyalahkan Walikota. Sedangkan di depan rumah saya per jam  air  cm. Tetangga ada yang terendam. Tetap tidak salahkan Walikota
109, Belasi sampai Karawang kalau musim hujan gini tak kelihatan sawah. Yang terlihat hanya air seperti Lautan. Itu artinya yang salah pengembang. Kenapa sawah di bikin rumah. Nah kalau sudah banjir semua saling menyalahlan. Pikir tu.
110,"Jadi, titik mana yang sudah banjir parah? "
111,Wah ternyata dah banjir dimana
112,"Demi keselamatan jiwa bersama akibat banjir disekitar lingkungan tempat tinggal kita , segeralah hubungi Contact Center PLN atau datanglah ke kantor PLN terdekat untuk melepas / matikan aliran listrik . "
113,Pulang sampe rumah pd.lakah banjir bung. Gubernur tidur nyenyak ga yah pagi dini hari ini??? Hemmm
114,Banjir.
115, 
116,"Jkt banjir, ini udah ujan lagi takut dirumah ujan"
117,Banjir lagiiiii tapi yg ini udah siap doongggg semuanya udah di amanin
118,"Apa nggak sebaiknya UU cilaka Minibus Law dibahas Datuk  ? Kalau soal banjir ini Clear kok, banjir zaman foke salah Sutiyoso, banjir jaman jkw salah FOKE, banjir jaman ahok salah jkw, banjir jaman Anies ya salah ahok, banjir setelah  ya salah Anies.. simple "
119," exactly geb. krna lagi musim hujan / banjir, jdi byk genangan air. nularnya lewat nyamuk tapi geb, ga man to man. selama imun tubuh prima, insyallah aman."
120,"   Ayu yu masuk tol pake motor, kebandung aja sekalian. Bilang aja banjir jalanan nya"
121,Terima kasih infonya ... update banjir jkt bekasi gmn 
122, mohon info apakah perumahan  Harapan Indah Bekasi akses sudah bisa masuk? Karena tadi pagi Banjir
123,"Ngakak mesen grabfood dari tdi ga dtg² lama bener ternyata abangnya kejebak banjir depan gang mau gamau gua yg nerobos banjir diliatin orang mana macet, gua jalan pake jas ujan ngakak "
124,": tong luh mau kemane pagi-pagi : pengen ke empang baaa mumpung banjir banyak ikan,pan empang encing pd luber.: jangan dah jangan tong! Entar ikan encing luh pd bunting ora punya baba kesian jd anak yatim.."
125," Batalin formula e, pake dananya buat ngatasin banjir, simple..knp mesti pake ngeliat pintu air doank, malihh"
126,"blum jg genap  bulan, banjir udh  kali!! Alesan apalagi nis!? "
127, Sekarang jkt ujan dikit banjir syar 
128,Alhamdulillah pemerataan air banjir  
129,Belum  jam ternyata wajah baru jakarta sudah berubah pagi ini. Stay save teman terdampak banjir 
130," ini diawali dengan  lohPagi yg indah nan sejuk, bawaannya pngen mandi ajah setiap menit, tinggal nyebur sih   "
131,"Bagi masyarakat yang sedang mengalami banjir di sekitar rumahnya dihimbau untuk dapat mematikan listrik dari _MCB, Cabut aliran, pindahkan peralatan listrik ke tempat yang lebih aman serta dapat menghubungi Contact Center  untuk memadamkan daerah terdampak banjir. "
132,"Real action....Atasi Banjir, DKI Guyur Rp Miliar untuk Bogor "
133,"Hujannya super awet dri semalam. Semoga ga banjir lagi :((Kulkas kosong, belum blanja apa  "
134,  mati lampu+banjir tapi
135, Siapapun Gubernur nya tak akan bisa mengendalikan banjir JAKARTA. Banjir Jakarta tak bisa di perdebatkan. Sejak Gubernurnya SOEMARNO Jakarta selalu banjir. Pikir pakai otak
136,"What?! Lebih sukses Anies kali yg atasi banjir, kmrn gw liat bnyk yg smpe atap tuh banjirnya  "
137,Banjir? Bingung kemana? Mampir aja ke Sahabat Senja Bintaro Sektor  sambil nunggu surut nya banjir. Di tunggu ya. Jangan lupa follow like n share ya instagram kami.       
138," Ya ampun, mas. Jangankan bahas banjir, sekarang yah solat  waktu ke mesjid ajah dikaitin ke urusan politik. Capek, mas. Capek!!! "
139,   
140,"Jakarta banjir dimana mana, ciputat mager dimana mana"
141,Kalian para wanita hati-hati saat menerjang  Disana juga banyak priaEntar tau tau hamil 
142," IYA IYA! GAMAU NGADU APA KOK PAK, SAYA TAU PENYEBAB BANJIR ITU AIR KOK"
143, Hehe.. Punten bos.. Saya cuma ngejokes.. Semoga banjir cepet selesai dan kita diberikan keselamatan 
144,"Kepada warga jakarta, khusunya cewe.. Jangan keluar kalo  ya...TAKUTNYA HAMIL!Ga asig kan  tanpa mantap..Wkwkwkwkwk"
145,Banjir di mana-mana.Usaha kita utk mengurangi sampah plastik udah sampe mana btw?Botol minum? Totebag buat belanja? udah pernah nyoba bikin ecobricks? Terus apalagi?
146,"Jakarta banjir, ciputat konsisten macet "
147,"Setelah kejadian beberapa tahun lalu di mana bumi menjadi datar, maka inilah penyebab banjir selalu datang. Sebelumnya sewaktu masih bulat air bisa dialiri merata ke seluruh bumi."
148,"padahal udh niat brgkt, udah sampe kebayoran denger informasinya krl cm sampe tn abang krn sudirman banjir, yaudahdeh puterbalik sebelum jauh "
149,Banjir lagi bang disana.? 
150," Banjir gin, kata nyokap depannya sedungkul. FYI rumah nyokap deket gading"
151,"Guys jgn salahin Pak  kalo Jakarta banjir lagi..pliss ya, doii ga salah..."
152, 
153,"Jakarta banjir, extent aja apa nih ? "
154, Nara sumber g bisa hadir pada bersihin rumah banjir
155,Bekasi banjir lagi 
156,"Baru kemaren ada yang bilang, hujan dan banjir selalu hari libur biar gak merepotkan karena pada di rumah, langsung dibayar tunai hujan di hari senen banjir di hari selasa...Allah Maha berKuasa"
157,"Hujan, banjir, and the pemda seems to do nothing about it.Pejabatnya beneran ga ada yg mau mengundurkan diri aja, nih?"
158,BANJIR TEROOOOOS
159,Le banjir dirumah : nani!?!?!?!Gw : trobos aja lah anjingg!!!!! 
160,"Jakarta dibagusin posting sana sini tuh gubernur tukang obat, tp begitu banjir dan kasus monas babak belur, batang hindungpun ga ada... apalagi congornya?"
161,Mulai lagi ujan gak berenti.. Semoga gak ada banjir kaya awal tahun..
162,"Hujannya masih deras dan konstan sepanjang malam. Sama seperti kemarin, dan kemarinnya lagi.Duh, kepikiran yang kemarin kebanjiran (lagi). Kasian capeknya belum hilang masih waspada banjir (lagi)."
163,"Kayaknya malam ini mulai dari Jakarta sampe ke Tangerang selatan sama hujan lumayan deres.Takecare, semoga gak ada banjir ya."
164,ujan deresnya stabil dan lama. semoga ga banjir.
165, Akses ke rumah gw udah banjir
166,Alhamdulillah...daerah tempat tinggal bebas banjir 
167,"Tangsel hujan, mudahan ga banjir"
168,Ujan deres lagi moga ga banjir
169,Kodamar (komplek marinir) kelapa gading banjir ga ya???
170,"  Perbaikan bukan dikarenakan banjir tapi memang dikarenakan faktor usia  Gedung B lokasi Pameran Tetap, memerlukan banyak pemeliharaan :)"
171,Alig Sarinah banjir : 
172,Liat orang pada post video banjir semua di jkt:( untung ciputat aman
173,"Matraman , utan kayu banjir waaa ntar nyari kos dimana ini"
174, Bocor apa banjir itu buuu
175, 
176,Kalo gak berhenti bisa banjir lagi nih
177,"Pikir dipikir pas kita kena macet aja udah bikin pusing dan emosi kalau  kaya gini terus kapan lancarnya, banjir yang tak kunjung surut pula, perekonomian juga terhambat kalau begini.. "
178,Tagar Banjir Kembali Bertengger di Trending Topic Twitter  
179,"mission completed. ujan""an + banjir""an berasa naek jetski @ Perum Dasana Indah, Bojongnangka, Kelapa Dua, Tangerang "
180,Lucu nih orang yang di tengah     
181,Bulan ini banjir banget.... alhamdulilah gak ada nyeri yg bikin guling..
182,Alhamdulilah daerah rumah ku gak banjir. Tapi malah ada niatan bulan april mau pindah rumah ke daerah yg mungkin akan terkena banjir 
183, Banjir datang bulan woy :'( . . . Tapi gapapa . Aku kasih hastag  :')
184,"Jakarta Dirundung Banjir, Anies Dirundung Malu (kalau masih ada)    "
185,"Lucu kali yo mangTerimbas banjir, hingga kini, penggugat belum tahu kapan sidang lanjutan warga korban banjir Jakarta akan digelar."
186,Stay save ya teman-teman yg terkena banjir.
187,"Pelatih golf blom tentu jago main golf, dokter blom tentu jg hidupnya sehat, Guru blom tentu jg pintar menerapkan apa yg diajarkan apalagi bukan bidangnya!! Nih contohnya, vote  smartly  "
188," min mau tanya, untuk kondisi banjir gini, performa masih berlaku gak?"
189, gara pada banjir itu semua jalan macet wee 
190,Ini formasi penyerangan catur atau informasi bencana banjir? Agak mirip ya tapi berwarna.  
191," Iyaaa makasihhh, tapi alhamdulillah nya belum sampe depan rumah. Depan rumah masih aman, cuma ini di pinggiran komplek dket jalan raya , cuma kepisah selokan aja antara jalanan komplek sm jalan rayanya. Tp dulu ga pernah banjir gini pdhl."
192,"Dulu ga pernah banjir, tapi semenjak ada mall balekota kalau hujan ga berhenti, jadi banjir gini. Padahal saluran airnya udh di perbesar. "
193,Semoga yg kena banjir cepet surut ya
194,"Sedih liatnya itu udh banjir kaya gitu, sampahnya banyak bgt :((( "
195,  Gabisa orang dari torabika aja udah banjir se lutut org dewasa
196,Banjir ey lah mana hari ini gajihan anying lah
197,"Banjir makin naik aja air nya, semoga gajih juga ikutan naik "
198,  Iyaa aku banjir banjir an nya sama cewe aja.
199, welcome home water
200,Harus bersyukur dengan  saat ini. Semoga kotorannya ikut tersapu kelaut lepas... 
201, Naek apa tuh? Krl banjir di Sudirman. Bagian Usher jg? Apa floor?
202,"Naik TJ banjir, naek kereta banjir besok gue jet lah"
203,kondisi tol Tgr-Jkt gimana ya.. macet gak yaa pls info kalo ada yg tau  terutama gerbang tol kebon jeruk 
204, Pasti dimana mana pada banjir
205,"Gak bisa tidur, abis nerjang banjir.."
206,"Ga bisa tidur, depan udah banjir lagi "
207,q pikir banjir 
208,"Bicara soal banjir dijakarta, sebenarnya bukan kesalahan pak  melainkan personal yang masih melakukan buangsampah sembarang, tidak banyak warung atau pedagang yangmasih membuang sampah di kali, yang mampu menyebabkan kebanjiran!! "
209,Kemarin heboh buang sperma dikolam renang hamil sekolam...DKI hari ini banjir kalau ada yang crit sembarangan?  
210,"Udah tau banjir masih disuruh outboundSekolah sekarang ko mulai berulah yg aneh sih.Kasus bully aja bilang cuma kenakalan.Sekarang sungai banjirAturan ya kalo mau susurin sungai, ITU YG PUNYA IDE DULUAN AJA COBA DULU SUSURIN TUH SUNGAI!!! "
211,Semoga tidak ada yg banjir yaaaa
212,Pati banjir kah?
213,"Ujannn, kosanku takpateniii. Biar kalo banjir ga keliatan. Hahaha  "
214,Si penerbang banjir Grogol tawakal  wkwkwkwk 
215,Jakarta bakal banjir lagi nih..entah harus bagaimana cara menyadarkan  agar memprioritaskan antisipasi banjir ketimbang Formula E 
216,"Jakarta pasti banjir malam ini, kasian warga sekitar kali. Semoga Allah menjauhkan dr mara bahaya yg lebih besar "
217,Gang santai jadi ga santai kalo banjir mulu :( 
218," dikawasan Jl.taman kemang dan sekitarnya,diperkirakan sejak subuh tadi volume air naik dan volume air diperkirakan selutut pria dewasa. "
219,"Pak   ini sudah  hari sejak tanggul ini jembol, akibatnya kami dalam  hari ini  kali jg kebanjiran, air sederas ini merendam rumah kami yg dibawah, kami capek pak siang bersihin rumah, malam kebanjiran, benar capek! Lokasi Pasar Manggis   "
220,"Saya sampai harus bergadang tiap hujan pak   akibat banjir yang diakibatkan jebolnya tanggul ini, capek pak.saya memilih anda ketika Pilgub, saya percaya tidak ada batas antara pemimpin &amp; rakyat, tolong dengar jeritan kami pak!! Cc  "
221,Baru kali ini rumah Jakarta kena banjir terparah
222, pisangan lama samping kantor pusat bea cukai. 
223, 
224,Didepan kampus atmajaya banjir cukup dalam    
225,"Efek banjir, krl cuma sampe manggarai, jadi ngantri busway ampe jalan huhu "
226, mohon ditambah lagi yah armadanya karena jalur KRL ke arah Tanah Abang banjir jadi banyak yg beralih ke TJ 
227,selamat pagi dari dalam angkot yg kena macet  
228,Dari dulu tmpt ini gprnh bersih dari yg namanya sampah sekalipun bersih paginya udh numpuk lagi Dan pas banjir beginilah akibatnya.tlg dong gmn cara mengatasinya.jmbtan aja baru dibgn sebelah gmn tiap hari gamacet.   PARUNG SERAB dpn Ruko Dian Mansion 
229,"Ujan awet dan deres banget, semoga gak pada kebanjiran deh yaa. Kesian memulai senin dengan banjir.. :("
230,"Hujan mengharuskan ku kerja banjir banjiran , sampai kantor menggigil 'bu ganti baju dulu masa kerja basah basahan gini' ya gimana ya pak akhirnya di pinjemin jas..."
231,Curah hujan yg tinggi dari td mlm jam  mlm..Wilayah tangerang mana saja yg sudah banjir.. 
232,"Gubernur DKI JAKARTA, Anies Baswedan pun terus diminta pertanggungjawabannya ketika banjir melanda ibu kota. Saksikan INDONESIA LAWYERS CLUB malam ini dengan tema : JAKARTA DIRUNDUNG BANJIR, SALAHKAH ANIES? ~ SELASA,  FEBRUARI  jam . WIB LIVE di tvOne  "
233,      
234,Nis nis nis...Banjir maneh iki Lo
235,Pertama kalinya merasakn banjir selama dijakarta    
236,Anak siapa ini wkwkwk   
237,"Pagi pagi cek words ""Banjir"" dan hampir di semua area banjir, yang kerja masih tetep masuk gak?"
238,"Dihimbau untuk cewe-cewe di Jakarta jangan keluar rumah, takutnya nanti pas nerjang banjir tiba-tiba hamil.Stay safe "
239,Banjir bangsat
240," Tiap kali hujan, tiap kali itu juga banjir !      "
241,"Kadang ngerasa bosen deh sama joke ngeyel padahal biasanya yg diajak ngomong lg serius,kayak""Gimana rumah aman?""""Ya aman,kalo ga aman rante-in aja biar aman !""...""Banjir ga tadi di jalan?""""Lumayan,gw nyari jalan dulu tadi""""Ngapain lo nyari-in jalan, emang jalanan ilang?"""
242,"  Pak  jawab pak !Apa saja yg sudah dilakukan untuk mencegah banjir  ?Masyarakat Jkt butuh kejelasan, apa akan seperti ini terus di bulan berikutnya?"
243,"  Sedih bgt Jkt banjir mulu,pencegahannya ga terlihat nyata,penanganannya jg kurang.Ayo dorong pemda   &amp;media u/ publikasikan apa sj yg sudah dilakukan u/ mencegah banjir? Sudah brp KM naturalisasi sungai?Apa jkt mau sprt ini terus? "
244,     
245,"Ternyata gubernur yang sekarang kurang sholeh,  buktinya ini hari Selasa tetap banjir.Hikmahnya: ""hari ini biji lo makin mengkerut!"" "
246,demen bangetsih diamah main di air banjir 
247,Sesuatu yang berlebihan tidak selalu baik. Contohnya ya air yg sedang berlebih saat ini.  
248,Please info dong turun di tol cempaka putih or rawamangun yg ga banjir arah pulomas 
249,"Jakarta Banjir, performa bagaimana????? Masih ambil Untung aja dari penderitaan Driver  "
250,Jakarta  
251,Dah luber ni kolamnya...kabur lagi deh ni ikannnya pak  ya masa ngurus banjir aja gak mau ngontak presiden ama komut cina kafir buat belajar sih?? 
252,Sebel banget kalo banjir giniii.... ngantor muter lewat toll.. duit dan waktu kebuang.
253,  sampe banjir berjilid-jilid masih kaya Pager ngejeger 
254,"  Naaahh kerugian akibat banjir berturut dari jan sd feb  di Jakarta sudah hampir bisa membiayai formula E tuh, mau tambah lagi pengeluaran buat ajang yg pembalap Indonesia aja ngga jelas"
255,Banjir Jakarta kali ini sangat memprihatinkan. Udah nggak seperti biasanya. Yg nggak pernah kebanjiran aja jadi banjir tahun ini  
256," nunggu hulu dikerjakan krn gak bisa beresin hilir , gak bisa bebasin lahan sungai  narasi "
257,"Jakarta hujan lg untuk kesekian kalinya hari ini, kali ini lebih lebat berangin dan akupun deg degan apakah akan banjir lagi ?"
258," Yaelah masihb ama pemilu udah ngomongin elektabilitas, banjir dulu dibahas.  bahas dunk dgn  &amp;  sudah berapa KM sungai yg dinaturalisasi o/ pemprov  itu masyarakat jakarta bayar pajak, harus ada perubahan lbh baik t'kait bnjr"
