text,label
"Dini hari tadi Kemang Selatan XII, Jakarta Selatan menyatakan keikutsertaannya dlm keriaan #banjirjakarta 2020 utk kesekian kalinya. 

Semoga kali ini kawasan ini diakui sebagai peserta #banjir setelah kecewa tdk dinyatakan banjir oleh @aniesbaswedan pd peristiwa tahun baru lalu https://t.co/F77t8abuRK",5
@blanthik_ayu Listrikku matek mbak. Diputus PLN. Kemang banjir. Laaah aku ora iso nyuci.,5
"Dibayar tunai, sekarang banjir di hari selasa 😭 kadruun kadruun https://t.co/tyBfBLSBHf",5
Awww gemesh bangeeet ini tanggal item juga banjir saking solehnya 🥰 https://t.co/O83jHZxrtb,2
Thanks Anies gubernur terbaique 🙏🏻💕 aku sekarang ke kantor hampir 3 jam lohhh karena banjir dan road closures di mana mana 😍🥰,2
@Yaqination @wiponk @daryanfahmi @ZulkyO O tentu tidak. Kosanku bebas banjir sejauh ini 😂,2
"Ngeliat IG banjir ✅
Ngeliat Facebook banjir ✅
Ngeliat Twitter banjir ✅

Eeeehhhh pas ngeliat dompet malah mulai kering 😂😂😂

#PapaEko",2
"Waspada banjir di mana² hari ini yaaaa...

@nonAngie 🙏💪",2
@eleanor_83 Pengambilan keputusan yg tepat mas bro. Istri &amp; anak bisa hidup tenang &amp; nyaman tanpa kepikiran banjir lagi 😊💪,2
Orang bule aja mau bantuin petugas kebersihan nguras sm mungut sampah banjir. Nah kita? 😅,2
"Tanggal 1 Januari lalu boleh lah kaget. Gak nyangka curah hujan tinggi banget, gak ada tanda-tanda akan banjir sangat besar. Lalu kebobolan tanpa persiapan. Tapi kalo sekarang masih begitu juga, itu namanya gak mau belajar dari kejadian lampau. Geram!",4
"Jijik banget denger bacotan pro anies ,banjir adalah berkah ,karna jakarta adalah kota penuh dengan rawa ,halah bacot lu rumah lu noh kelelep",4
Pertama kali gajadi balik karena force majeur ceunah aka banjir 🤔,5
Lagi musim banjir disuru ke Sukabumi hadeh,4
"Liat timeline @TMCPoldaMetro isinya banjir semua 🙈

Stay safe guys.",5
"Ayo mas Joko janji nya ditepatin, katanya banjir jakarta akan teratasin jika jd presiden https://t.co/TxrzEmkpmt",4
Astagfirullah Kelapa Gading banjir lagi https://t.co/ERNbxTmSON,5
Moga gak banjir -_-,5
@dwigartika Wkwkwkw katanya sering banjir,2
"Mulai naik air nya ... 😟
.
.
.
#banjir
#siagabanjir @ Kampung Gaga Caplin Ciledug https://t.co/efeMOLZBtl",5
@ndanduy Wkwk tau ahh. Baru kali ini gw setahun sampe 2x kena banjir,2
"untung udh netap di Semarang. ga kebayang bokap nyokap yg tiap minggu hrs ke daerah Cempaka Putih-Kelapa Gading hrs muter otak lewat mana lagi karena sensitif bgt, hujan dikit aja banjir se-dada orang dewasa😕",5
Banjir gais terpaksa berangkat pulang sampe rumah macem kucing keujanan:v https://t.co/fclna3Vgw6,5
"Alhamdulillah rumah ga banjir

Tapi tl semua sosmed gua banjir ):
#banjir",2
"Saat ini sih rumah/akses jalan kekantor belum kebanjiran ya, tapi ngeliat temen2 kantor pd izin karna kena/kejebak banjir, rasanya ingin latahan 🤣 #banjir",2
"Jkt banjir, ini udah ujan lagi takut dirumah ujan😭",5
"Ngakak😭 mesen grabfood dari tdi ga dtg² lama bener ternyata abangnya kejebak banjir depan gang mau gamau gua yg nerobos banjir diliatin orang2 mana macet, gua jalan pake jas ujan ngakak 😭",2
Alhamdulillah pemerataan air banjir 😁 https://t.co/EOa6HaiKVt,2
"Le banjir dirumah : nani!?!?!?!
Gw : trobos aja lah anjingg!!!!! https://t.co/u3AXpjqKHg",5
Liat orang2 pada post video banjir semua di jkt:( untung ciputat aman,5
Bulan ini banjir banget.... alhamdulilah gak ada nyeri yg bikin guling2..,2
Alhamdulilah daerah rumah ku gak banjir. Tapi malah ada niatan bulan april mau pindah rumah ke daerah yg mungkin akan terkena banjir 😂,2
@petabencana Banjir datang bulan woy :'( . . . Tapi gapapa . Aku kasih hastag #banjir :'),5
"@MyDesyAriess Iyaaa makasihhh, tapi alhamdulillah nya belum sampe depan rumah. Depan rumah masih aman, cuma ini di pinggiran komplek dket jalan raya , cuma kepisah selokan aja antara jalanan komplek sm jalan rayanya. Tp dulu ga pernah banjir gini pdhl.",2
"Dulu ga pernah banjir, tapi semenjak ada mall balekota kalau hujan ga berhenti2, jadi banjir gini. Padahal saluran airnya udh di perbesar. https://t.co/ovIfkOl92d",5
Semoga yg kena banjir cepet surut ya,2
"Sedih liatnya itu udh banjir kaya gitu, sampahnya banyak bgt :((( https://t.co/YyOpwH78lN",5
Banjir ey lah mana hari ini gajihan anying lah🥺,5
"Gak bisa tidur, abis nerjang banjir..",5
"Ga bisa tidur, depan udah banjir lagi 😅",5
"Ujannn, kosanku takpateniii. Biar kalo banjir ga keliatan. Hahaha 😣 https://t.co/bYyHmKNBXt",4
Si penerbang banjir Grogol tawakal @Jihooshii wkwkwkwk https://t.co/76sLcrQ4ka,2
Gang santai jadi ga santai kalo banjir mulu :( https://t.co/BecWb59i80,5
"Pak @aniesbaswedan @DKIJakarta ini sudah 3 hari sejak tanggul ini jembol, akibatnya kami dalam 3 hari ini 3 kali jg kebanjiran, air sederas ini merendam rumah kami yg dibawah, kami capek pak siang bersihin rumah, malam kebanjiran, benar2 capek! Lokasi Pasar Manggis #JAKI #banjir https://t.co/TKHSY5lyoK",5
"Saya sampai harus bergadang tiap hujan pak @aniesbaswedan @DKIJakarta,trauma akibat banjir yang diakibatkan jebolnya tanggul ini, capek pak.saya memilih anda ketika Pilgub, saya percaya tidak ada batas antara pemimpin &amp; rakyat, tolong dengar jeritan kami pak!! Cc @TMCPoldaMetro https://t.co/M9AZMrINsQ",5
"Efek banjir, krl cuma sampe manggarai, jadi ngantri busway ampe jalan huhu🥺 https://t.co/NhNLlovUwl",5
@PT_Transjakarta mohon ditambah lagi yah armadanya karena jalur KRL ke arah Tanah Abang banjir jadi banyak yg beralih ke TJ https://t.co/roYjhelUFG, 
"Ujan awet dan deres banget, semoga gak pada kebanjiran deh yaa. Kesian memulai senin dengan banjir.. :(",5
Anak siapa ini wkwkwk #banjir #BanjirJakarta2020 https://t.co/uIU2Fgwk57,2
Banjir bangsat,4
"@Metro_TV Tiap kali hujan, tiap kali itu juga banjir ! @DKIJakarta @aniesbaswedan @dprddkijakarta @willsarana @PSI_Jakarta @psi_id",4
"@CherylTanzil @aniesbaswedan Pak @aniesbaswedan jawab pak !
Apa saja yg sudah dilakukan untuk mencegah banjir @DKIJakarta ?
Masyarakat Jkt butuh kejelasan, apa akan seperti ini terus di bulan2 berikutnya?",4
Banjir Jakarta kali ini sangat memprihatinkan. Udah nggak seperti biasanya. Yg nggak pernah kebanjiran aja jadi banjir tahun ini 😢 #4niesTenggelamkanDKI,5
"Jakarta hujan lg untuk kesekian kalinya hari ini, kali ini lebih lebat berangin dan akupun deg degan apakah akan banjir lagi ?",5
Tiap hujan sll deg2an.. apakah aku hrs beli truk??!!! #banjir https://t.co/dKqk6UpsiC,5
"kasian bet temen gua, dah jalannnn. Pas nyampe eh banjir selutut:( #banjirr https://t.co/CT4VGPqfqM",5
Akhirnya sampai juga setelah menerobos banjir.. https://t.co/TqEUevU1rH,2
"Jakarta Banjir?
Emang Gw Pikiriiin..
Gembira Ajaaaa Yuuk 😋😋😋 @ Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia https://t.co/t52TdFDNqz",2
Area terdampak banjir hari ini.... :'( @ South Jakarta https://t.co/VvVR2vPLmV,5
@maxximall Wkkwkwkw banjir bukan termasuk force majure yaaa,2
"@harapngerti Kaya kecoa hehehe, masa banjir banjir ada udang",2
@sinyaktafar @iloveaceh @misdarul @AsrizalAsnawi @atjeh01 Hujannya rahmat &amp; banjir nya sholehah kata bapak itu. 😂😂😂,2
@nananmd_ Bangka langganan banjir wkwkwkw,2
"@S_GraciaJKT48 Gua menerjang banjir gee mau gk mau tetep harus ke kantor, btw akses ke kampus lu banjir semua tuh, emang bagus laah di liburin, wkkw",2
"Buat elo elo yg sok netral soal banjir biar diliat opini lo unpopular, lo goblok. Sok lawan arus bela anies. Uda bayar pajak blm? Tau brp gaji yg dipotong per bulan buat ginian? Ngentot",4
"Buka TV banjir, buka FB banjir, buka Twitter banjir,
buka dompet kok kering 😭",5
"Alhamdullilah rumah gue gak kena banjir, tapi semua akses banyak tertutup karena banjir. Bukan cuman akses jalan yg tertutup, nurani dan pikiran Gubernur @aniesbaswedan juga masih tertutup. Anyway Gubernur DONGO lagi dimana ? Bantu apdet dong... https://t.co/NNhSdKjoro",2
"Ga sempet ngefoto anak anak yg lari kegirangan ke arah daerah banjir ""yeeaayyy banjiirr""",2
Kosan Dan kantorku Aman dari banjir hamdulilah,2
Seminggu 3 kali banjir wajar ga sih? Kimakk,4
"banjir lagi, gimana berangkat ngantornya ini...",5
Ujan lagi. Banjir lagi. #AniesTenggelamkanDKI,5
"#Banjir di JKT sekarang udh ga tinggi lagi,  tapi sering! 🤣",2
@ariyoryo alhamdulillah smb numpang g banjir mas,2
@evriiiii Itu katanya hanyut kebawa banjir gitu. :(,5
"@olencieile @jr_kw19 @aniesbaswedan @ustadtengkuzul Setiap banjir tanda tangan 57 Milyar, makanya mau ustad, jawara dan gerombolanya bela mati😡😡😡",5
"Mana TOA....TOA GUOBLOOOK
Banjir Kok TOA mau khotbah😡😡😡
Nies....Anies @aniesbaswedan kamu atau consultanmu yang pekok
@jr_kw19 
@BiLLRaY2019 
@Dennysiregar7 
@Namaku_Mei 
#AniesTenggelamkanDKI 
#AniesBaswedanJuaraBOHONG 
#AniesGabisakerja https://t.co/TIvHVWQLTs",5
Yah allah banjir dimna mana 😭,5
"Buka tv banjir, buka whatsapp banjir, buka twitter banjir, buka dompet kering. Nasib 💔",5
pengen deh ngerasain banjir wkwk. ga deng boong~,2
"Buka WA banjir
Buka Facebook, IG &amp; Tweeter banjir semua..
Buka dompet kering 😭",5
Bencana banjir gini udah ga lucu lagi buat becandaan. Sumpah ini tuh ada yang salah!,4
"TOA MANA TOAAAAA WOYYYYYY @aniesbaswedan 

setiap hujan, BANJIR terus

solusi mana?? Gak butuh rangkaian kata disinii",4
"2 jam lalu baru aja terabas banjir di Boulevard Gading, sedengkul, air sampe masuk kabin ± 1 cm, Alhamdulillah masih jalan dan gak ada yang aneh sama mesin mobil. Semoga besok ke bengkel gak kenapa-napa.",2
"@gloriamadona @BungRetweet 2014 Banjir Pulomas nih, anies udah dilantik kan ya, wkwkwk https://t.co/pWFKqiGq9e",2
"Astagfirullah Pagi2 udh kejebak banjir aja,  gimana mau ke kantor nih gw kalau jalanan seperti ini!!  
#Banjir https://t.co/D428dMmRUz",4
"@petabencana #banjir baniir kedua kalinya tepatnya Gang Karya 3 menteng atas, setiabudi jaksel dan banjir kali ini paling parah hampir mau selutut😩😭",5
"Diluar negeri virus corona, di Indonesia banjir..  Ya allah semoga kami selalu berada dalam lindunganmu Aaminn 😭",5
"Wajah baru Jakarta? Apaan, ini mah flashback ke masa lalu Jakarta kalo dimana mana banjir mah wkwkw",2
"Baru per Januari pindah Jkt, per 1 feb stay d kosan, blm ada sebulan eeh kena banjir. Di Bali aman2 ajaa sejauh ini. Banjir berkat semoga ya, dan smga pertama dan terakhir kali gw alamin banjir.
Kesel bgt gue sama si titik titik titik ehehe :"")
Bersyukur msh aman selamat badan gw",5
"@hanums Kahans stay daerah mana? Sama kak, aku jg kena banjir di utkay :(
jam 2 subuh ktnya airnya masuk.
untung ak pas nginep d tempat ka nina dan br liat kmrn sore kosanku yaaampunn sedihh bgt gue. Baru pindah jkt Januari lsg kena banjir :"")
semangat kak!",5
"Barang2 gw rusak saat banjir ada TV, kompor listrik, kipas, buku tabungan, deposito, pasport yg baru gw perpanjang di Bali kmrn. 
Kosan gw br ditempatin per 1 Feb kmrn di tgh2 itu gw dinas 2 mgu ke luar kota. Jadi mgkn hny sktr 2 mgu kurang gw di kosan itu :"")
Bersyukur ajaah",5
dan ada brg2 lainnya yg basah kena banjir. Sedih bgt gue wkwk,2
"@RofiUddarojat hahaha atau attitude org lain. Woi lari ga jadi, kapan neh? eh tp klo td lari jatuhnya renang ya. kan banjir wkwwk",2
@hazeluixy Klsnya dilantai 3 mana mungkin kena banjir :(((,5
jam segini masih hujan deras bikin khawatir banjir maneh.,5
"@Safringo Ya emang, diedit biar ala2 banjir di jepang katanya airnya ga coklat :(",5
"Cape ih beresin rumah, banjir mulu udah kaya rutinitas :(",5
"Jakarta mulai Siaga 1 banjir, dari semalem ujan deres :’)",5
masya Allah bangun pergi tidur ujan bangun tidur ujan dan banjir. stay safe teman2 yg rumahnya sampe masuk... luvv 🥺,5
Ya Allah hujan nggak brenti2 #banjir,5
@AmirahFaradilla Banjir kek kali kali wkekek,2
@D4tuk_T4mburin @yunartowijaya Hhhhhh....sdh tau goblok knp ditanggapin bang ...jakartakan emang daerah banjir dr dulunya hanya org2 dungu yg gak paham,4
males keluar ngeri banjir,5
Emang sekarang hari libur ndasmu????? Ini hari selasa goblooosssss!!!! Banjir tuh dimana mana... Pemimpin salah kok masih dibela kayak gini. Gubernur soleh apaaann? Takabur! Sombong! Terkutuklah kemakan omongan sendiri!! 😡😡 #emosileveltinggi #aniesbanjir https://t.co/gzCNZBM4ek,4
Lekas air masuk ke tanah..banjir dimana2 😢,5
Td dini hari banjir lagi. Ini baru surut. Total 6x banjir. Alhamdulillah,2
Yang sering buang sampah sembarangan dilarang ngeluh kalo banjir. GARA GARA LO KITA SEMUA JADI SUSAH. https://t.co/cqA7ROqeXF,4
"@nauval_12 @ridlwandjogja Masalahnya banjirnya juga ngga berimbang mas. Kepikir ga lelahnya orang yang ngepel lumpur 4 kali dalam 2 bulan terakhir, padahal sudah bertahun2 ga pernah banjir. Di Jakarta, APBD terbesar. Pernah berasa diurus. Ya wajar marah luar biasa sekarang. 
Ohya, mereka orang biasa juga",4
Jalanan ke kantor banjir nggak ya 😭,5
"Bangun tidur check hp rame bgt ngomongin banjir, gue si selow aja karena kosan w gak ada tanda banjir, eh taunya pas otw kantor pesanggarahan banjir dah dalem bgt 😢",5
"Yaaaa tempatnya gue si aman cuma aksesnya yang susah, dimana mana banjir😥",5
"Mat mat, dibayar berapa ya lo ini ampe banjir aja harus disyukurin dan bela2in anies ampe mati2an gt. Udh buta bgt sm politik mah gini bgt ya. Gw sbg yg punya mantu betawi malu bgt liat statement kek gini. 🤬 https://t.co/UA8YVtOQKP",4
"Bangsyattt ngakak dnk w 🤣
Banjir bisa milih di weekend https://t.co/hDoie48xzc",2
Dibalik kata BANJIR tersirat kata ANJIR.... atau kalo ga singkatan BAngs*t NJIR.... #BanjirJakarta2020,4
Ngentot emang nih orang kerjaannya cuma bisa nge-like postingan Persija doang. Disuruh nanggulangin banjir juga clueless. https://t.co/ZtBXxLGrTb,4
"@Daffafrmnsyhh Kemaren sombong si lu gua bilang banjir apa engga, jawabnya wess engga dong 🤣",2
"@yosaphatlavi Kaga kode oiii 😅
Banjir lagi gaa yos?",2
"Banjir, Alhamdulillah surut sangat cepat...",2
"Kerja yang cerdas lah! Misalnya, kerjakan apa yang seharusnya dikerjakan sebelum banjir terjadi.

https://t.co/xREX6x7X8P

""Jadi sejak dini hari seluruh jajaran pemprov bekerja di lapangan,"" kata Anies Baswedan soal banjir Jakarta hari ini.",4
@unidulls Tweet yg tak terdugaaa ternyata beberapa jamnya banjir wkwk,2.0
"Paling kicep sama musim penghujan dan banjir :""(",5.0
"Sedih ga si liat kali banjir dan penuh sampah. Minggu kemarin lari pagi dari kbn. Manggis ke emerald bintaro beli aqua botol dan pas abis bingung nyari tempat sampah, Faktanya sepanjang jalan emang ga ada tempat sampah. Tumpukan sampah emang ada tapi itu bukan tempat sampah. https://t.co/UmnXgIsTIV",5.0
masa banjir lagi 😭😭😭,5.0
Demi menyelamatkan mobil yg baru aja keluar dari bengkel grgr banjir pas tahun baru🙂🥺,5.0
Besok alamat banjir lagi Jakarta.,2.0
"foto""lucu banjir dong,sama meme gubernurnya. pengen ketawa nih.",2.0
Tiap hujan deres malem-malem gini langsung ga bisa tidurrr. Ngeri banjir coyyy,3.0
"ternyata parah bener banjir di Jakarta kali ini..

bersyukur di Bintaro sekitaranku gak banjir https://t.co/Mysai84e7C",2.0
Guwe kemarin dari malem jam 9 sampe subuh jam 2pagi di polda metro jaya trus kita lari ke rs polri kramat jati ampe jam 5.30 ama serse diskrimum aja kita takut kenak banjir krn ujan sejak malem. Tapi puji Tuhan kmrn kramat jati ga banjir,2.0
"Mantul gak tuh, selama 24 tahun hidup baru kali ini gua menerjang banjir kayak gini 😭 https://t.co/mLQERnrYHD",5.0
"@YogaKrisnanda2 Daerah lain banjir dan longsor,yg salah juga Anies.....bener2 syaraf panas tuh.",4.0
Level banjir nya jakarta udah kacau bgt sampe rumah sakit (RSCM) dalem nya kebanjiran. 😣,4.0
"Untuk para wanita hati-hati jangan banjir""an bareng laki"" nanti bisa HAMIL.

#KPAI #banjir",2.0
Mundur aja Gabener A!! Saya tinggal di Tangsel dan ngantor di Jakarta. Sudah berapa kali kantor harus tutup karena banjir di tahun 2020 ini. Totalnya di DKI Jakarta ada berapa bisnis yang terpaksa melakukan hal yang sama? Kerugiannya sangat besar.,4.0
Rumah gak kena banjir tapi kamar selalu bocor setiap hujan deres begini. 😣,4.0
"Td pagi pintu air katulampa udah siaga 3 debit air nya naik 100 cm, dan tambah malam ini hujan nya begini, banjir ya pasti.

Stay safe, awas hati2 perkabelan listrik di dalem rumah.",3.0
#banjir terparah di rorotan cakung.. jahat bgt si kalo sampe ini sengaja dijadiin prnampungan aer.. dirumah tinggal kakek2 sama nenek2 doang 😭😭 https://t.co/Ti4BPsxMq4,5.0
"@Ri_Grey @Aryprasetyo85 @RadioElshinta Dulu Februari thn 2018 
Banjir dan sekarang banjir lagi .

Tetap siaga 😥",5.0
"terima kasih Ya Allah, sudah dikasih banjir tiga kali dalam dua bulan. 

Pak pemimpin jangan kebanyakan ngeles donks ... mosok udah hampir dua bulan masih bersilat lidah #tot @ Gang Edi Guntur https://t.co/ahmcyqMFSv",2.0
"Kasian yang kena banjir , kasian yang kerja nyari akses jalan karna banjir :( lu kalo kebocoran aja jangan pada ngeluh ya ! Bersyukur ajaaaaa udahh masih Alhamdulillah",5.0
"Itu logika bodoh yg teramat bodoh. Klo sejarahnya jakarta itu rawa dan banjir adalah takdir, apakabar dengan belanda yg negaranya di awah permukaan laut? Banjir tidak sama dengan takdir! Bodoh jangan kelewatan lah #banjir #BanjirJakarta2020",4.0
"Ga bisa kerjaaaa 
Ujan banjir :""""",5.0
Panjang umur untuk para pekerja yg hari tembus sampai ke tempat kerja dan sehat selalu untuk para warga yang tekena banjir. Saya termasuk yg ada diposisi itu semua.💪✊,2.0
Awas woy yang kena banjir tar hamil 🤣🤣🤣 #banjir,2.0
"selamat pagi jakarta, hari ini banjir dimana mana. Jangan pada berenang ya, nanti hamil kasian nyari bapaknya. Ntar gambreng sejakarta lagi nyari bapaknya hmmmm",5.0
"Iya alhamdulillah, bahagia itu sederhana. Bisa bernapas lega karena tempat lo bebas banjir, contohnya. 🙏 https://t.co/4CgRCULLLH",2.0
"Buat wanita2 hindari berenang di banjir yah.. 

tau kan nanti kenapa?? 😅😭",5.0
"Puji Tuhan rumah ga kebanjiran dan akses ke kantor ga banjir dan lancar juga jalanan. Oh Tuesday, please be good till I'm done with youuuuu🙏",2.0
@Rhoceng1 @DidiMeniing @FerdinandHaean2 @karniilyas @aniesbaswedan Ngacooo bin ngawur.. mana datamu klo sebelum th 2019 kemacetan dan tingkat banjir di JKT lebih baik?,4.0
"@FaGtng Banjir nya berjilid jilid, kaya demo 😁",2.0
"Mager ke rasuna, banjir wkwkw https://t.co/IpG3iSAGF7",2.0
Horeee banjir.. alamat bos ga masuk 🤪🤪🤪,2.0
Kasian yg kebanjiran:( dimana2 banjir lagi😭,5.0
SEKARANG SELASA MASIH AJA BANJIR!!! https://t.co/UFppXPI54a,4.0
Bulan ini udah 2 kali dikasih libur karna banjir wkwkwk😭,2.0
"Alhamdulillah banjir di sebagian daerah, jadilah masyarakat cerdas, bukan cuman bisa bully doang tapi cari lah solusi.",2.0
Semengerikan ini banjir jakarta :(,3.0
HAHAHAHAHA INI KENAPA BENER BGT KOK BANJIR BERJILID JILID https://t.co/tb9mFYDHec,2.0
Rumah gua banjir anjer😫,5.0
"Dari gue orok sampe gue gede rumah gua perasaan gaperanh banjir, ini pertama x ny banjir 🤬🤬",4.0
@sibakiakungu Punya PCX malah kena banjir mulu 😭😭😭,5.0
Banjir lagi 😭😭😭 https://t.co/9DtaGYCltA,5.0
"Ya Allah kebangun cuma karena banjir, kapan surut 😭😭",5.0
"Abis azan subuh digas poll lagi isi langit. #banjir JKT udah kayak demo kadrun, berjilid jilid. Mau tidur was was, begadang terus lemas! Apes benar tinggal di wilayah pemimpin mawas!",4.0
"Karna kecapean abis nyuci dan bersih2 sisa banjir. Akhirnya istirahat bentar, dan skrg ngantuk dan mager. Aduuuh belum mandi:(",5.0
"@mikmikhmik @salima252 @kompascom Wkwk biasa ah, udah caoek juga sebenarnya ngadepin beginian, sampe banjir dibilang berkah, padahal yang berkah itu Hujan bukan Banjirnya kalo banjir itu bencana 😁 mungkin nunggu jakarta banjir bandang baru mereka sadar kalo banjir itu bukan berkah melainkan bencana hehe",2.0
Lihat banjir semalam makin sadar di Jakarta ternyata ada gubernur paling tolol yg pernah ada #WajahBaruJakarta,4.0
Jakarta kalo siang panas malam hujan gede dan pagi nya banjir 🤭 cinta dan syang bnget sma kota metropolitan ini 🥰#WajahBaruJakarta,1.0
@YoGojekYo @ryan_nus Rumah gua biasanye banjir cuma depan doang eh ini masuk sampe sedengkul dan ini gua jadi blom tidur 😭😭,5.0
Jakarta sekarang asal kena ujan pasti banjir. Sad,5.0
"#banjir #BanjirJakarta #BanjirJakarta2020
Ini depan rumah
Kalo sampe daerahku terendam begini
Ini udah parah bgt
Stay safe semuanya yaa😩 https://t.co/nY4pnBYskE",5.0
Suasana rumah jam 2 pagi yang #banjir 😭 https://t.co/I2Av9yYafi,5.0
Yaampun rumah gue banjir woy hahaha udah sebetis. For the first time in forever hahahaha.,2.0
"bru kli ini plg maen ujan2an lawan banjir , ampe motor mogok 😭😭 ,, makasih buat abang2 yg td bntu ngangkt motor dan ngidupin lg motor guaa .. smoga kbaikannya di bls sm allah swt .. aamiin ..",2.0
"Boss gw chat di group, okta kalo banjir gak usah maksain masuk kantor ya, mantabbb jiwa",2.0
"Gubenur bodoh ini mah, kenapa doanya malah untuk milih hari apa banjirnya, bukan minta jangan banjir #banjir https://t.co/YzLprO6qKO",4.0
info buat yang daerahnya kena banjir wkwk https://t.co/t46lTiLZEd,2.0
Hujan 12 jam nonstop. Wew. Alhamdulillah rmh bkn di daerah yg rawan banjir 😓 tp gmn yg lainnya coba 😓,2.0
Siapa yang gak bisa berangkat kerja/sekolah gara2 banjir wkwkwkwkwk,2.0
SUMPAH KALO KEK GINI GW HARAP MINTA DPR(D DKI JAKARTA) PECAT SI ANOES BAJINGAN!!!! #banjir,4.0
"Ketika akses pada kena #banjir , harus cari jalan alternatif buat ke kantor. Mangatt !!!",2.0
"Cuma bagibagiin roti ini buat yang kena banjir deket rumah, biar ga pada masuk angin. Kasian banjir terus 😭 https://t.co/JNAH2fLbGj",5.0
Kasian temen2 yg kena banjir,5.0
Wkwkwk katulampa normal tapi jakarta banjir wkakka!,2.0
"Alhamdulillah, dikasih banjir lagi..",2.0
"Puji Tuhan wilayah kos aman gak kenak banjir, yg jd masalah itu akses kekantornya banjir 😑",2.0
"@elisasgn parah sih kak, ini aku di krl lama bgt pergantian jalur di manggarai krn udah siaga 1.. semua titik sudah dikepung banjir",5.0
"@A_GitaJKT48 jangan maen banjir""an yaaa nanti anyut...",3.0
2020 masih bulan kedua rumahku udah banjir ketiga :((,5.0
sungguh melelahkan kalo hujannya tiap tengah malem gini.. deres gak berhenti gak bisa tidur karna setakut itu banjir lagi :((,5.0
Dagdigdug semoga gak banjir aja. Kesian pasien gue di medan 😭😭😭,5.0
