NO,LABEL,TEXT
97,,"Gue: ha? Hujan? Dimana2 banjir? Tetep berangkat kantor aja deh
Kantor: https://t.co/v8KGTb8Evy"
98,2,"@rafifnaufal7 Bsk beli kasur yg di ikea boy, bebas banjir"
99,4,Inilah bedanya bekas Gabener sampah AHOAX yang JUMAWA. Beda kelas dengan Goodbener Indonesia bapak Anies Baswedan yang berani bertanggung jawab atas musibah banjir DKI Jakarta. https://t.co/ctbEKZWgRV
100,4,"@corn_dhe @SurgaSavero Sedikit merasakan gak sur? Tiap hujan waswas dan tau banjir, begitu surut harus bersih2 rumah..

Energi terkuras hanya utk masalah itu itu saja"
101,4,"Maaf ni pak, kebetulan hari biasa nih dan kayaknya hujan deras yg mengguyur membuat beberapa wilayah terendam banjir.

Pede bener banjir cuma weekend katanya 😊😊😊 https://t.co/D2oBVaY80l"
102,4,"@SurgaSavero @NASA Yes wajar tp bolak balik kena dampak banjir dan belum adanya tindakan kongkrit dr pemerintah terkait apa iya kita masih bisa bilang wajar jakarta banjir dr dulu, atau makanya jangan buang sampah sembarangan bla bla bla bla..."
103,4,@SurgaSavero @NASA Utk hal ini proses bukan? Pembangunan waduk masih dlm pengerjaan. Tp apa iya setelah waduk berdiri jakarta tidak kena banjir? Apa kita tetap pongah dan melepas kewaspadaan?
104,4,"Bapak gak kasian sama warganya yg bolak balik kena banjir? Kok gak ada langkah kongkrit pak?

Oia lupa, yg utama formula e"
105,,Banjir lagi aje
106,2,"Saat ini sih rumah/akses jalan kekantor belum kebanjiran ya, tapi ngeliat temen2 kantor pd izin karna kena/kejebak banjir, rasanya ingin latahan 🤣 #banjir"
107,2,Selamat pagi puri kartika #banjir https://t.co/M2KBRLYaKl
108,2,@yunartowijaya @aniesbaswedan Yang bikin banjir bukan Anis. Banjir sebab curah hujan tinggi di mana2 termasuk Tangerang. Saya orang tangerang hari ini saya tidak menyalahkan Walikota. Sedangkan di depan rumah saya per jam 05 air 75 cm. Tetangga ada yang terendam. Tetap tidak salahkan Walikota
109,4,@firaun_id Belasi sampai Karawang kalau musim hujan gini tak kelihatan sawah. Yang terlihat hanya air seperti Lautan. Itu artinya yang salah pengembang. Kenapa sawah di bikin rumah. Nah kalau sudah banjir semua saling menyalahlan. Pikir tu.
110,4,"Jadi, titik mana yang sudah banjir parah? https://t.co/7td4dI3RjU"
111,4,Wah ternyata dah banjir dimana2
112,,"Demi keselamatan jiwa bersama akibat banjir disekitar lingkungan tempat tinggal kita , segeralah hubungi Contact Center PLN123 atau datanglah ke kantor PLN terdekat untuk melepas / matikan aliran listrik .

#tipsbanjirpln
#pln123
#ListrikUntukRakyat https://t.co/4f1avpqpDO"
113,4,Pulang sampe rumah pd.lakah banjir bung. Gubernur tidur nyenyak ga yah pagi dini hari ini??? Hemmm
114,,Banjir.
115,,@petabencana #banjir
116,5,"Jkt banjir, ini udah ujan lagi takut dirumah ujan😭"
117,2,Banjir lagiiiii😂 tapi yg ini udah siap doongggg semuanya udah di amanin😂😂😂
118,4,"Apa nggak sebaiknya UU cilaka Minibus Law dibahas Datuk @karniilyas ? Kalau soal banjir ini Clear kok, banjir zaman foke salah Sutiyoso, banjir jaman jkw salah FOKE, banjir jaman ahok salah jkw, banjir jaman Anies ya salah ahok, banjir setelah 2022 ya salah Anies.. simple🤗 https://t.co/ShpOD9TmDW"
119,,"@gbymnd exactly geb. krna lagi musim hujan / banjir, jdi byk genangan air. nularnya lewat nyamuk tapi geb, ga man to man. selama imun tubuh prima, insyallah aman."
120,2,"@drugseyes @m_marshel @aniesbaswedan Ayu yu masuk tol pake motor, kebandung aja sekalian. Bilang aja banjir jalanan nya"
121,2,Terima kasih infonya ...@elshinta update banjir jkt bekasi gmn https://t.co/uiAeT1SiVM
122,2,@RadioElshinta mohon info apakah perumahan  Harapan Indah Bekasi akses sudah bisa masuk? Karena tadi pagi Banjir
123,2,"Ngakak😭 mesen grabfood dari tdi ga dtg² lama bener ternyata abangnya kejebak banjir depan gang mau gamau gua yg nerobos banjir diliatin orang2 mana macet, gua jalan pake jas ujan ngakak 😭"
124,2,"👨‍🦳: tong luh mau kemane pagi-pagi 
👨🏻‍🦲: pengen ke empang baaa mumpung banjir banyak ikan,pan empang encing pd luber.
👨‍🦳: jangan dah jangan tong! Entar ikan encing luh pd bunting ora punya baba kesian jd anak yatim.."
125,4,"@KompasTV Batalin formula e, pake dananya buat ngatasin banjir, simple..knp mesti pake ngeliat pintu air doank, malihh"
126,4,"2020blum jg genap 2 bulan, banjir udh 4 kali!! Alesan apalagi nis!? #DKIJakarta"
127,4,@syarahh09 Sekarang jkt ujan dikit banjir syar 😅😂
128,2,Alhamdulillah pemerataan air banjir 😁 https://t.co/EOa6HaiKVt
129,5,Belum 24 jam ternyata wajah baru jakarta sudah berubah pagi ini. Stay save teman2 terdampak banjir https://t.co/BnMRIUWpT6
130,2,"#minggupagi ini diawali dengan #WajahBaruJakarta loh😏
Pagi yg indah nan sejuk, bawaannya pngen mandi ajah setiap menit, tinggal nyebur sih😅 #banjir #BanjirJakarta #BanjirJakarta2020"
131,2,"Bagi masyarakat yang sedang mengalami banjir di sekitar rumahnya dihimbau untuk dapat mematikan listrik dari _MCB, Cabut aliran, pindahkan peralatan listrik ke tempat yang lebih aman serta dapat menghubungi Contact Center 123 untuk memadamkan daerah terdampak banjir. https://t.co/UHyPzMsTJK"
132,2,"Real action....
Atasi Banjir, DKI Guyur Rp30 Miliar untuk Bogor https://t.co/WAEHgIeSq1"
133,5,"Hujannya super awet dri semalam. 
Semoga ga banjir lagi :((
Kulkas kosong, belum blanja apa2  😥😥"
134,4,@peozzlee @Urieevenuss mati lampu+banjir tapi
135,4,@korantempo Siapapun Gubernur nya tak akan bisa mengendalikan banjir JAKARTA. Banjir Jakarta tak bisa di perdebatkan. Sejak Gubernurnya SOEMARNO Jakarta selalu banjir. Pikir pakai otak
136,4,"What?! Lebih sukses Anies kali yg atasi banjir, kmrn gw liat bnyk yg smpe atap tuh banjirnya 🙃 https://t.co/Woyo7mM0oS"
137,2,"Banjir? Bingung kemana? Mampir aja ke Sahabat Senja Bintaro Sektor 3 sambil nunggu surut nya banjir. Di tunggu ya. 
Jangan lupa follow like n share ya instagram kami. @sahabatsenja.bintarosek3  #AniesTenggelamkanDKI #BanjirJakarta2020 #Tangsel #bintaro https://t.co/6FyHVHMWof"
138,4,"@ekkyrezky Ya ampun, mas. Jangankan bahas banjir, sekarang yah solat 5 waktu ke mesjid ajah dikaitin ke urusan politik. Capek, mas. Capek!!! 😂"
139,,#infobintaro #banjir #pondokmaharta https://t.co/MGkjVTy7Pc
140,2,"Jakarta banjir dimana mana, ciputat mager dimana mana"
141,2,"Kalian para wanita hati-hati saat menerjang #banjir 
Disana juga banyak pria
Entar tau tau hamil https://t.co/VtDJldm7VC"
142,2,"@petabencana IYA IYA! GAMAU NGADU APA2 KOK PAK, SAYA TAU PENYEBAB BANJIR ITU AIR KOK"
143,2,@petabencana Hehe.. Punten bos.. Saya cuma ngejokes.. Semoga banjir cepet selesai dan kita diberikan keselamatan 🙏
144,2,"Kepada warga jakarta, khusunya cewe2.. Jangan keluar kalo #banjir ya...

TAKUTNYA HAMIL!

Ga asig kan #hamil tanpa mantap2..

Wkwkwkwkwk"
145,4,"Banjir di mana-mana.

Usaha kita utk mengurangi sampah plastik udah sampe mana btw?
Botol minum? Totebag buat belanja? udah pernah nyoba bikin ecobricks? Terus apalagi?"
146,2,"Jakarta banjir, ciputat konsisten macet https://t.co/Jgdio8pb8A"
147,2,"Setelah kejadian beberapa tahun lalu di mana bumi menjadi datar, maka inilah penyebab banjir selalu datang. Sebelumnya sewaktu masih bulat air bisa dialiri merata ke seluruh bumi."
148,2,"padahal udh niat brgkt, udah sampe kebayoran denger informasinya krl cm sampe tn abang krn sudirman banjir, yaudahdeh puterbalik sebelum jauh 😂👍"
149,2,Banjir lagi bang disana.? https://t.co/6Hf4Bi9fzd
150,2,"@ginginanjar_ Banjir gin, kata nyokap depannya sedungkul. FYI rumah nyokap deket gading"
151,2,"Guys jgn salahin Pak @aniesbaswedan kalo Jakarta banjir lagi..pliss ya, doii ga salah...🙏"
152,,#PrayForJakarta #Banjir
153,2,"Jakarta banjir, extent aja apa nih ? https://t.co/ZjIN8N2vew"
154,2,@mochamadarip Nara sumber g bisa hadir pada bersihin rumah banjir
155,2,Bekasi banjir lagi 🌊
156,2,"Baru kemaren ada yang bilang, hujan dan banjir selalu hari libur biar gak merepotkan karena pada di rumah, langsung dibayar tunai hujan di hari senen banjir di hari selasa...

Allah Maha berKuasa"
157,4,"Hujan, banjir, and the pemda seems to do nothing about it.

Pejabatnya beneran ga ada yg mau mengundurkan diri aja, nih?"
158,4,BANJIR TEROOOOOS
159,4,"Le banjir dirumah : nani!?!?!?!
Gw : trobos aja lah anjingg!!!!! https://t.co/u3AXpjqKHg"
160,4,"Jakarta dibagusin posting sana sini tuh gubernur tukang obat, tp begitu banjir dan kasus monas babak belur, batang hindungpun ga ada... apalagi congornya?"
161,,Mulai lagi ujan gak berenti2.. Semoga gak ada banjir kaya awal tahun..
162,4,"Hujannya masih deras dan konstan sepanjang malam. Sama seperti kemarin, dan kemarinnya lagi.

Duh, kepikiran yang kemarin kebanjiran (lagi). Kasian capeknya belum hilang masih waspada banjir (lagi)."
163,2,"Kayaknya malam ini mulai dari Jakarta sampe ke Tangerang selatan sama2 hujan lumayan deres.

Takecare, semoga gak ada banjir ya."
164,2,ujan deresnya stabil dan lama. semoga ga banjir.
165,2,@Rujakchingur Akses ke rumah gw udah banjir
166,2,Alhamdulillah...daerah tempat tinggal bebas banjir https://t.co/HTyR4cIfZb
167,3,"Tangsel hujan, mudah2an ga banjir"
168,3,Ujan deres lagi moga ga banjir
169,2,Kodamar (komplek marinir) kelapa gading banjir ga ya???
170,2,"@Pradhana_Adi @IndahAriani Perbaikan bukan dikarenakan banjir tapi memang dikarenakan faktor usia  Gedung B lokasi Pameran Tetap, memerlukan banyak pemeliharaan :)"
171,2,Alig Sarinah banjir :0 https://t.co/BnCdBOI0BZ
172,3,Liat orang2 pada post video banjir semua di jkt:( untung ciputat aman
173,2,"Matraman , utan kayu banjir waaa ntar nyari kos dimana ini"
174,2,@noellastrna Bocor apa banjir itu buuu
175,2,@petabencana #banjir
176,3,Kalo gak berhenti bisa banjir lagi nih
177,4,"Pikir dipikir pas kita kena macet aja udah bikin pusing dan emosi kalau #JalanPerancisTangerangRusak kaya gini terus kapan lancarnya, banjir yang tak kunjung surut pula, perekonomian juga terhambat kalau begini..
@KemenPU https://t.co/rcK2AtWrdK"
178,2,Tagar Banjir Kembali Bertengger di Trending Topic Twitter https://t.co/g1b9ha2MbB https://t.co/hwbILUl8kM
179,2,"mission completed. ujan""an + banjir""an berasa naek jetski @ Perum Dasana Indah, Bojongnangka, Kelapa Dua, Tangerang https://t.co/o98IWWPLfS"
180,2,Lucu nih orang yang di tengah #BanjirJakarta #banjir #BanjirJakarta2020 @KompasTV https://t.co/klVpKE5nmQ
181,2,Bulan ini banjir banget.... alhamdulilah gak ada nyeri yg bikin guling2..
182,2,Alhamdulilah daerah rumah ku gak banjir. Tapi malah ada niatan bulan april mau pindah rumah ke daerah yg mungkin akan terkena banjir 😂
183,5,@petabencana Banjir datang bulan woy :'( . . . Tapi gapapa . Aku kasih hastag #banjir :')
184,4,"Jakarta Dirundung Banjir, Anies Dirundung Malu (kalau masih ada) 

#BanjirJakarta2020 #banjir #ILCSalahkahAnies https://t.co/hVQxdol8Oo"
185,2,"Lucu kali yo mang

https://t.co/Fi6NON2cK2

Terimbas banjir, hingga kini, penggugat belum tahu kapan sidang lanjutan warga korban banjir Jakarta akan digelar."
186,2,Stay save ya teman-teman yg terkena banjir.
187,4,"Pelatih golf blom tentu jago main golf, dokter blom tentu jg hidupnya sehat, Guru blom tentu jg pintar menerapkan apa yg diajarkan apalagi bukan bidangnya!! Nih contohnya, vote  smartly #gituaja, #banjir"
188,2,"@GrabID min mau tanya, untuk kondisi banjir gini, performa masih berlaku gak?"
189,4,@gojak_gajek gara2 pada banjir itu semua jalan macet wee 🤦‍♀️
190,4,Ini formasi penyerangan catur atau informasi bencana banjir? Agak mirip ya tapi berwarna. #AniesTenggelamkanDKI https://t.co/7M7gFBZ6wd
191,2,"@MyDesyAriess Iyaaa makasihhh, tapi alhamdulillah nya belum sampe depan rumah. Depan rumah masih aman, cuma ini di pinggiran komplek dket jalan raya , cuma kepisah selokan aja antara jalanan komplek sm jalan rayanya. Tp dulu ga pernah banjir gini pdhl."
192,2,"Dulu ga pernah banjir, tapi semenjak ada mall balekota kalau hujan ga berhenti2, jadi banjir gini. Padahal saluran airnya udh di perbesar. https://t.co/ovIfkOl92d"
193,2,Semoga yg kena banjir cepet surut ya
194,5,"Sedih liatnya itu udh banjir kaya gitu, sampahnya banyak bgt :((( https://t.co/YyOpwH78lN"
195,4,@hainaeso @Prambors Gabisa orang dari torabika aja udah banjir se lutut org dewasa
196,4,Banjir ey lah mana hari ini gajihan anying lah🥺
197,4,"Banjir makin naik aja air nya, semoga gajih juga ikutan naik🥺🧐 https://t.co/UJFpwvF17j"
198,2,@laelawati1095 @zoelfick Iyaa aku banjir banjir an nya sama cewe aja.
199,2,#banjir welcome home water
200,2,Harus bersyukur dengan #banjir saat ini. Semoga kotoran2nya ikut tersapu kelaut lepas... https://t.co/58QtNNQd0E
